date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:40	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663be566-239b%22	https://themewagon.github.io/robots.txt		(from )
10:57:40	85695/85695	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-14ebf%22	https://themewagon.github.io/fruitables/	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/index.html	(from )
10:57:41	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/Users/Baku/Desktop/FruitableShopProject/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/fruitables/)
10:57:41	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/Baku/Desktop/FruitableShopProject/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/fruitables/)
10:57:41	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-9e4%22	https://themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/fruitables/)
10:57:41	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-b78%22	https://themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/fruitables/)
10:57:42	166446/166446	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-28a2e%22	https://themewagon.github.io/fruitables/css/bootstrap.min.css	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/css/bootstrap.min.css	(from https://themewagon.github.io/fruitables/)
10:57:42	9918/9918	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-26be%22	https://themewagon.github.io/fruitables/css/style.css	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/css/style.css	(from https://themewagon.github.io/fruitables/)
10:57:42	85695/85695	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-14ebf%22	https://themewagon.github.io/fruitables/index.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/index-2.html	(from https://themewagon.github.io/fruitables/)
10:57:42	41805/41805	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-a34d%22	https://themewagon.github.io/fruitables/shop.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/shop.html	(from https://themewagon.github.io/fruitables/)
10:57:43	50939/50939	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-c6fb%22	https://themewagon.github.io/fruitables/shop-detail.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/shop-detail.html	(from https://themewagon.github.io/fruitables/)
10:57:43	23488/23488	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-5bc0%22	https://themewagon.github.io/fruitables/cart.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/cart.html	(from https://themewagon.github.io/fruitables/)
10:57:43	28187/28187	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-6e1b%22	https://themewagon.github.io/fruitables/chackout.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/chackout.html	(from https://themewagon.github.io/fruitables/)
10:57:43	19744/19744	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-4d20%22	https://themewagon.github.io/fruitables/testimonial.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/testimonial.html	(from https://themewagon.github.io/fruitables/)
10:57:44	14657/14657	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-3941%22	https://themewagon.github.io/fruitables/404.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/404.html	(from https://themewagon.github.io/fruitables/)
10:57:44	17434/17434	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-441a%22	https://themewagon.github.io/fruitables/contact.html	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/contact.html	(from https://themewagon.github.io/fruitables/)
10:57:44	113538/113538	---M--	200	added ('OK')	image/png	etag:%2265701aba-1bb82%22	https://themewagon.github.io/fruitables/img/hero-img-1.png	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/hero-img-1.png	(from https://themewagon.github.io/fruitables/)
10:57:44	75084/75084	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-1254c%22	https://themewagon.github.io/fruitables/img/hero-img-2.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/hero-img-2.jpg	(from https://themewagon.github.io/fruitables/)
10:57:44	26857/26857	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-68e9%22	https://themewagon.github.io/fruitables/img/fruite-item-5.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/fruite-item-5.jpg	(from https://themewagon.github.io/fruitables/)
10:57:45	48392/48392	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-bd08%22	https://themewagon.github.io/fruitables/img/fruite-item-2.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/fruite-item-2.jpg	(from https://themewagon.github.io/fruitables/)
10:57:45	35753/35753	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8ba9%22	https://themewagon.github.io/fruitables/img/fruite-item-4.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/fruite-item-4.jpg	(from https://themewagon.github.io/fruitables/)
10:57:45	26051/26051	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-65c3%22	https://themewagon.github.io/fruitables/img/fruite-item-3.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/fruite-item-3.jpg	(from https://themewagon.github.io/fruitables/)
10:57:45	38581/38581	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-96b5%22	https://themewagon.github.io/fruitables/img/fruite-item-1.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/fruite-item-1.jpg	(from https://themewagon.github.io/fruitables/)
10:57:46	30486/30486	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7716%22	https://themewagon.github.io/fruitables/img/fruite-item-6.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/fruite-item-6.jpg	(from https://themewagon.github.io/fruitables/)
10:57:46	30070/30070	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7576%22	https://themewagon.github.io/fruitables/img/featur-1.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/featur-1.jpg	(from https://themewagon.github.io/fruitables/)
10:57:46	32809/32809	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8029%22	https://themewagon.github.io/fruitables/img/featur-2.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/featur-2.jpg	(from https://themewagon.github.io/fruitables/)
10:57:46	47885/47885	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-bb0d%22	https://themewagon.github.io/fruitables/img/featur-3.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/featur-3.jpg	(from https://themewagon.github.io/fruitables/)
10:57:46	35535/35535	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8acf%22	https://themewagon.github.io/fruitables/img/vegetable-item-6.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/vegetable-item-6.jpg	(from https://themewagon.github.io/fruitables/)
10:57:47	26589/26589	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-67dd%22	https://themewagon.github.io/fruitables/img/vegetable-item-1.jpg	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/vegetable-item-1.jpg	(from https://themewagon.github.io/fruitables/)
10:57:47	56672/56672	---M--	200	added ('OK')	image/png	etag:%2265701aba-dd60%22	https://themewagon.github.io/fruitables/img/vegetable-item-3.png	C:/Users/Baku/Desktop/FruitableShopProject/themewagon.github.io/fruitables/img/vegetable-item-3.png	(from https://themewagon.github.io/fruitables/)
